Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2012-04-29,24-312,SAS,,UTA,W (+15),1,21:02,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,3,2,-0.3,-3
2,2,2012-05-02,24-315,SAS,,UTA,W (+31),1,21:18,5,8,.625,3,5,.600,0,0,,0,4,4,2,1,3,2,1,13,12.7,+31
3,3,2012-05-05,24-318,SAS,@,UTA,W (+12),1,30:55,5,12,.417,1,5,.200,3,4,.750,1,5,6,0,1,1,0,2,14,10.3,+8
4,4,2012-05-07,24-320,SAS,@,UTA,W (+6),1,24:52,1,5,.200,1,4,.250,2,2,1.000,0,4,4,2,0,0,2,1,5,2.1,+16
5,5,2012-05-15,24-328,SAS,,LAC,W (+16),1,29:20,6,11,.545,3,6,.500,0,0,,0,6,6,2,0,2,3,2,15,10.5,+14
6,6,2012-05-17,24-330,SAS,,LAC,W (+17),1,24:52,4,6,.667,4,6,.667,1,2,.500,1,1,2,0,2,0,2,3,13,9.8,+9
7,7,2012-05-19,24-332,SAS,@,LAC,W (+10),1,16:32,3,6,.500,1,2,.500,0,0,,0,2,2,0,0,1,0,2,7,4.5,+24
8,8,2012-05-20,24-333,SAS,@,LAC,W (+3),1,29:32,5,9,.556,3,5,.600,1,2,.500,0,6,6,4,1,0,1,4,14,12.3,+10
9,9,2012-05-27,24-340,SAS,,OKC,W (+3),1,15:33,0,6,.000,0,5,.000,0,0,,0,2,2,0,0,1,2,0,0,-4.9,-7
10,10,2012-05-29,24-342,SAS,,OKC,W (+9),1,26:42,4,10,.400,2,7,.286,0,0,,0,5,5,2,1,1,2,2,10,6.4,+14
11,11,2012-05-31,24-344,SAS,@,OKC,L (-20),1,21:11,1,3,.333,1,3,.333,0,0,,1,3,4,1,1,1,0,1,3,4.9,-7
12,12,2012-06-02,24-346,SAS,@,OKC,L (-6),1,20:04,3,9,.333,1,6,.167,0,0,,0,1,1,1,0,0,0,2,7,2.1,+7
13,13,2012-06-04,24-348,SAS,,OKC,L (-5),0,3:47,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5
14,14,2012-06-06,24-350,SAS,@,OKC,L (-8),0,3:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
